gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2988479612	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/88756676/original.jpg	https://www.inaturalist.org/photos/88756676					2020-08-07T19:03:38Z	Andre Hosper		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Andre Hosper
2988465390	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/52338230/original.jpeg	https://www.inaturalist.org/photos/52338230					2019-09-22T05:24:22Z	André Nagelhout		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	André Nagelhout
2988464988	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/104325607/original.jpeg	https://www.inaturalist.org/photos/104325607					2020-11-14T17:09:35Z	Anja Cervencl		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Anja Cervencl
2988376477	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/78449779/original.jpg	https://www.inaturalist.org/photos/78449779					2014-06-14T19:24:31Z	marcel-silvius		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	marcel-silvius
2988371617	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/91233813/original.jpg	https://www.inaturalist.org/photos/91233813					2020-08-22T09:21:08Z	Andre Hosper		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Andre Hosper
2988347586	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/84138549/original.jpg	https://www.inaturalist.org/photos/84138549					2020-07-13T14:23:52Z	Chris van Swaay		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Chris van Swaay
2988344634	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/90311694/original.jpg	https://www.inaturalist.org/photos/90311694					2020-08-16T18:51:20Z	Robert		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Robert
2988285938	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/104325578/original.jpeg	https://www.inaturalist.org/photos/104325578					2020-11-14T16:44:43Z	Anja Cervencl		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Anja Cervencl
2984538918	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/103981771/original.jpeg	https://www.inaturalist.org/photos/103981771					2020-11-11T16:48:36Z	Anja Cervencl		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Anja Cervencl
2984525634	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/103596287/original.jpeg	https://www.inaturalist.org/photos/103596287					2020-11-08T21:03:19Z	Caroline		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Caroline
